,time,time,reason,bull or bear
355,01/03/24,2:10:00 PM,super_trend_ said no,
356,01/03/24,2:15:00 PM,super_trend_ said no,
357,01/03/24,2:20:00 PM,super_trend_ said no,
358,01/03/24,2:25:00 PM,super_trend_ said no,
359,01/03/24,2:30:00 PM,super_trend_ said no,
360,01/03/24,2:35:00 PM,super_trend_ said no,
361,01/03/24,2:40:00 PM,super_trend_ said no,
362,01/03/24,2:45:00 PM,super_trend_ said no,
363,01/03/24,2:50:00 PM,super_trend_ said no,
364,01/03/24,2:55:00 PM,super_trend_ said no,
365,01/03/24,3:00:00 PM,nothing,
366,01/03/24,3:05:00 PM,nothing,
367,01/03/24,3:10:00 PM,nothing,
368,01/03/24,3:15:00 PM,nothing,
369,01/03/24,3:20:00 PM,nothing,
370,01/03/24,3:25:00 PM,nothing,
371,02/03/24,9:15:00 AM,super_trend_ said no,
372,02/03/24,9:20:00 AM,super_trend_ said no,
373,02/03/24,9:25:00 AM,super_trend_ said no,
374,02/03/24,9:30:00 AM,super_trend_ said no,
375,02/03/24,9:35:00 AM,super_trend_ said no,
376,02/03/24,9:40:00 AM,super_trend_ said no,
377,02/03/24,9:45:00 AM,super_trend_ said no,
378,02/03/24,9:50:00 AM,super_trend_ said no,
379,02/03/24,9:55:00 AM,super_trend_ said no,
380,02/03/24,10:00:00 AM,super_trend_ said no,
381,02/03/24,11:15:00 AM,super_trend_ said no,
382,02/03/24,11:20:00 AM,super_trend_ said no,
383,02/03/24,11:30:00 AM,super_trend_ said no,
384,02/03/24,11:35:00 AM,super_trend_ said no,
385,02/03/24,11:40:00 AM,super_trend_ said no,
386,02/03/24,11:45:00 AM,super_trend_ said no,
387,02/03/24,11:50:00 AM,super_trend_ said no,
388,02/03/24,11:55:00 AM,super_trend_ said no,
389,02/03/24,12:00:00 PM,super_trend_ said no,
390,02/03/24,12:05:00 PM,super_trend_ said no,
391,02/03/24,12:10:00 PM,super_trend_ said no,
392,02/03/24,12:15:00 PM,super_trend_ said no,
393,02/03/24,12:20:00 PM,super_trend_ said no,
394,02/03/24,12:25:00 PM,Squee said no,
395,02/03/24,12:30:00 PM,super_trend_ said no,
396,04/03/24,9:15:00 AM,Squee said no,
397,04/03/24,9:20:00 AM,super_trend_ said no,
398,04/03/24,9:25:00 AM,super_trend_ said no,
399,04/03/24,9:30:00 AM,super_trend_ said no,
400,04/03/24,9:35:00 AM,super_trend_ said no,
401,04/03/24,9:40:00 AM,super_trend_ said no,
402,04/03/24,9:45:00 AM,Squee said no,
403,04/03/24,9:50:00 AM,super_trend_ said no,
404,04/03/24,9:55:00 AM,super_trend_ said no,
405,04/03/24,10:00:00 AM,Squee said no,
406,04/03/24,10:05:00 AM,super_trend_ said no,
407,04/03/24,10:10:00 AM,super_trend_ said no,
408,04/03/24,10:15:00 AM,super_trend_ said no,
409,04/03/24,10:20:00 AM,super_trend_ said no,
410,04/03/24,10:25:00 AM,super_trend_ said no,
411,04/03/24,10:30:00 AM,super_trend_ said no,
412,04/03/24,10:35:00 AM,super_trend_ said no,
413,04/03/24,10:40:00 AM,super_trend_ said no,
414,04/03/24,10:45:00 AM,super_trend_ said no,
415,04/03/24,10:50:00 AM,super_trend_ said no,
416,04/03/24,10:55:00 AM,super_trend_ said no,
417,04/03/24,11:00:00 AM,super_trend_ said no,
418,04/03/24,11:05:00 AM,Squee said no,
419,04/03/24,11:10:00 AM,Squee said no,
420,04/03/24,11:15:00 AM,super_trend_ said no,
421,04/03/24,11:20:00 AM,super_trend_ said no,
422,04/03/24,11:25:00 AM,Squee said no,
423,04/03/24,11:30:00 AM,super_trend_ said no,
424,04/03/24,11:35:00 AM,Squee said no,
425,04/03/24,11:40:00 AM,super_trend_ said no,
426,04/03/24,11:45:00 AM,super_trend_ said no,
427,04/03/24,11:50:00 AM,super_trend_ said no,
428,04/03/24,11:55:00 AM,super_trend_ said no,
429,04/03/24,12:00:00 PM,super_trend_ said no,
430,04/03/24,12:05:00 PM,super_trend_ said no,
431,04/03/24,12:10:00 PM,super_trend_ said no,
432,04/03/24,12:15:00 PM,super_trend_ said no,
433,04/03/24,12:20:00 PM,super_trend_ said no,
434,04/03/24,12:25:00 PM,super_trend_ said no,
435,04/03/24,12:30:00 PM,super_trend_ said no,
436,04/03/24,12:35:00 PM,super_trend_ said no,
